player,team,season,bat_runs,bat_balls,bat_innings,bat_outs,bowl_balls,bowl_runs,bowl_wickets,bowl_innings,bat_avg,bat_sr,bowl_eco,bowl_avg
A Chopra,Kolkata Knight Riders,2008,42,52,5,4,0,0,0,0,10.5,80.77,8.0,30.0
A Kumble,Royal Challengers Bangalore,2008,13,17,4,1,230,304,6,10,13.0,76.47,7.93,50.67
A Mishra,Delhi Daredevils,2008,37,42,3,3,119,138,11,6,12.33,88.1,6.96,12.55
A Mukund,Chennai Super Kings,2008,0,1,1,1,0,0,0,0,0.0,0.0,8.0,30.0
A Nehra,Mumbai Indians,2008,3,13,3,0,269,348,12,14,99.0,23.08,7.76,29.0
A Nel,Mumbai Indians,2008,0,0,0,0,18,31,1,1,99.0,100.0,10.33,31.0
A Symonds,Deccan Chargers,2008,161,105,3,2,41,101,0,3,80.5,153.33,14.78,30.0
AA Noffke,Royal Challengers Bangalore,2008,9,10,1,1,24,40,1,1,9.0,90.0,10.0,40.0
AB Agarkar,Kolkata Knight Riders,2008,54,46,6,4,156,207,7,9,13.5,117.39,7.96,29.57
AB Dinda,Kolkata Knight Riders,2008,2,4,2,1,234,260,9,12,2.0,50.0,6.67,28.89
AB de Villiers,Delhi Daredevils,2008,95,98,6,4,0,0,0,0,23.75,96.94,8.0,30.0
AC Gilchrist,Deccan Chargers,2008,436,318,14,13,0,0,0,0,33.54,137.11,8.0,30.0
AD Mascarenhas,Rajasthan Royals,2008,9,8,1,1,24,29,2,1,9.0,112.5,7.25,14.5
AM Nayar,Mumbai Indians,2008,206,138,10,8,42,68,1,5,25.75,149.28,9.71,68.0
AM Rahane,Mumbai Indians,2008,4,17,2,2,0,0,0,0,2.0,23.53,8.0,30.0
AS Yadav,Deccan Chargers,2008,49,39,6,5,0,0,0,0,9.8,125.64,8.0,30.0
Abdur Razzak,Royal Challengers Bangalore,2008,0,2,1,0,12,29,0,1,99.0,0.0,14.5,30.0
B Akhil,Royal Challengers Bangalore,2008,46,31,7,2,104,134,2,6,23.0,148.39,7.73,67.0
B Chipli,Royal Challengers Bangalore,2008,20,28,3,3,0,0,0,0,6.67,71.43,8.0,30.0
B Geeves,Delhi Daredevils,2008,0,0,0,0,48,91,1,2,99.0,100.0,11.38,91.0
B Lee,Kings XI Punjab,2008,17,13,3,1,96,112,2,4,17.0,130.77,7.0,56.0
BAW Mendis,Kolkata Knight Riders,2008,0,0,0,0,24,24,1,1,99.0,100.0,6.0,24.0
BB McCullum,Kolkata Knight Riders,2008,188,92,4,3,0,0,0,0,62.67,204.35,8.0,30.0
BJ Hodge,Kolkata Knight Riders,2008,12,17,3,2,0,0,0,0,6.0,70.59,8.0,30.0
CK Kapugedera,Chennai Super Kings,2008,16,23,3,3,17,49,0,3,5.33,69.57,17.29,30.0
CL White,Royal Challengers Bangalore,2008,114,102,8,4,6,24,0,1,28.5,111.76,24.0,30.0
CRD Fernando,Mumbai Indians,2008,2,1,1,0,120,160,9,5,99.0,200.0,8.0,17.78
D Kalyankrishna,Deccan Chargers,2008,3,8,1,1,48,87,2,3,3.0,37.5,10.88,43.5
D Salunkhe,Rajasthan Royals,2008,33,24,3,0,47,78,1,5,99.0,137.5,9.96,78.0
DB Das,Kolkata Knight Riders,2008,103,94,6,6,0,0,0,0,17.17,109.57,8.0,30.0
DB Ravi Teja,Deccan Chargers,2008,109,82,6,6,12,19,1,1,18.17,132.93,9.5,19.0
DJ Bravo,Mumbai Indians,2008,178,134,7,6,171,232,10,9,29.67,132.84,8.14,23.2
DJ Hussey,Kolkata Knight Riders,2008,319,259,13,11,78,130,2,5,29.0,123.17,10.0,65.0
DJ Thornely,Mumbai Indians,2008,39,53,4,2,42,40,2,4,19.5,73.58,5.71,20.0
DL Vettori,Delhi Daredevils,2008,0,0,0,0,48,54,2,2,99.0,100.0,6.75,27.0
DNT Zoysa,Deccan Chargers,2008,11,9,2,1,66,99,1,3,11.0,122.22,9.0,99.0
DP Vijaykumar,Deccan Chargers,2008,1,1,1,0,152,199,4,9,99.0,100.0,7.86,49.75
DPMD Jayawardene,Kings XI Punjab,2008,179,131,12,5,0,0,0,0,35.8,136.64,8.0,30.0
DR Smith,Mumbai Indians,2008,45,40,3,2,66,83,5,4,22.5,112.5,7.55,16.6
DS Kulkarni,Mumbai Indians,2008,2,16,1,0,177,236,11,10,99.0,12.5,8.0,21.45
DS Lehmann,Rajasthan Royals,2008,18,18,2,2,0,0,0,0,9.0,100.0,8.0,30.0
DT Patil,Royal Challengers Bangalore,2008,13,13,2,1,0,0,0,0,13.0,100.0,8.0,30.0
DW Steyn,Royal Challengers Bangalore,2008,2,5,2,1,228,252,10,10,2.0,40.0,6.63,25.2
G Gambhir,Delhi Daredevils,2008,534,379,14,13,0,0,0,0,41.08,140.9,8.0,30.0
GC Smith,Rajasthan Royals,2008,441,362,11,9,0,0,0,0,49.0,121.82,8.0,30.0
GD McGrath,Delhi Daredevils,2008,4,5,2,1,324,357,12,14,4.0,80.0,6.61,29.75
Gagandeep Singh,Kings XI Punjab,2008,0,0,0,0,84,141,3,4,99.0,100.0,10.07,47.0
H Das,Deccan Chargers,2008,2,5,1,1,0,0,0,0,2.0,40.0,8.0,30.0
HH Gibbs,Deccan Chargers,2008,167,153,9,8,0,0,0,0,20.88,109.15,8.0,30.0
Harbhajan Singh,Mumbai Indians,2008,30,17,3,2,60,82,4,3,15.0,176.47,8.2,20.5
I Sharma,Kolkata Knight Riders,2008,11,11,5,0,253,329,7,13,99.0,100.0,7.8,47.0
IK Pathan,Kings XI Punjab,2008,131,116,10,5,318,350,15,14,26.2,112.93,6.6,23.33
Iqbal Abdulla,Kolkata Knight Riders,2008,1,2,1,0,18,22,0,1,99.0,50.0,7.33,30.0
J Arunkumar,Royal Challengers Bangalore,2008,23,23,3,3,0,0,0,0,7.67,100.0,8.0,30.0
JA Morkel,Chennai Super Kings,2008,241,163,10,7,288,399,17,13,34.43,147.85,8.31,23.47
JDP Oram,Chennai Super Kings,2008,18,12,2,1,96,149,2,4,18.0,150.0,9.31,74.5
JH Kallis,Royal Challengers Bangalore,2008,199,183,11,10,206,311,4,11,19.9,108.74,9.06,77.75
JR Hopes,Kings XI Punjab,2008,221,148,11,11,168,276,6,11,20.09,149.32,9.86,46.0
Joginder Sharma,Chennai Super Kings,2008,16,11,2,2,148,239,8,7,8.0,145.45,9.69,29.88
K Goel,Kings XI Punjab,2008,76,78,6,5,12,25,0,1,15.2,97.44,12.5,30.0
KC Sangakkara,Kings XI Punjab,2008,320,198,9,8,0,0,0,0,40.0,161.62,8.0,30.0
KD Karthik,Delhi Daredevils,2008,145,107,8,6,0,0,0,0,24.17,135.51,8.0,30.0
Kamran Akmal,Rajasthan Royals,2008,128,78,6,4,0,0,0,0,32.0,164.1,8.0,30.0
L Balaji,Chennai Super Kings,2008,0,4,1,1,198,286,11,9,0.0,0.0,8.67,26.0
L Ronchi,Mumbai Indians,2008,34,32,4,2,0,0,0,0,17.0,106.25,8.0,30.0
LA Pomersbach,Kings XI Punjab,2008,152,99,5,1,0,0,0,0,152.0,153.54,8.0,30.0
LPC Silva,Deccan Chargers,2008,40,26,3,2,6,21,0,1,20.0,153.85,21.0,30.0
LR Shukla,Kolkata Knight Riders,2008,163,122,12,8,72,124,6,9,20.38,133.61,10.33,20.67
LRPL Taylor,Royal Challengers Bangalore,2008,149,81,4,4,0,0,0,0,37.25,183.95,8.0,30.0
M Kaif,Rajasthan Royals,2008,176,171,14,8,0,0,0,0,22.0,102.92,8.0,30.0
M Kartik,Kolkata Knight Riders,2008,30,27,3,1,88,127,3,5,30.0,111.11,8.66,42.33
M Muralitharan,Chennai Super Kings,2008,0,3,1,1,348,404,11,15,0.0,0.0,6.97,36.73
M Ntini,Chennai Super Kings,2008,11,18,2,1,210,242,7,9,11.0,61.11,6.91,34.57
M Rawat,Rajasthan Royals,2008,34,39,7,3,0,0,0,0,11.33,87.18,8.0,30.0
MA Khote,Mumbai Indians,2008,24,22,3,2,30,51,2,2,12.0,109.09,10.2,25.5
